JOB	TASK_GROUP	TASK	IMAGE
alertmanager	alertmanager	alertmanager	prom/alertmanager:v0.29.0
alloy	alloy	alloy	grafana/alloy:v1.13.2
aptly	aptly	setup-gpg	alpine:3.23
aptly	aptly	setup-webui	alpine:3.23
aptly	aptly	setup-repo	curlimages/curl:8.18.0
aptly	aptly	aptly	urpylka/aptly:1.6.2
backup-worker	worker	backup-worker	registry.munchbox.cc/backup-worker:v0.1.4
blackbox-exporter	blackbox-exporter	blackbox-exporter	prom/blackbox-exporter:v0.28.0
cleanup-worker	worker	cleanup-worker	registry.munchbox.cc/cleanup-worker:v0.1.0
cloudflare-log-collector	cloudflare-log-collector	cloudflare-log-collector	registry.munchbox.cc/cloudflare-log-collector:v0.1.12
cloudflare-log-collector-webpage	cloudflare-log-collector-webpage	cloudflare-log-collector-webpage	registry.munchbox.cc/cloudflare-log-collector-web:v0.1.15
cloudflaresolverr	cloudflaresolverr	cloudflaresolverr	ghcr.io/flaresolverr/flaresolverr:v3.4.6
coredns	coredns	coredns	coredns/coredns:1.13.2
dashboard	dashboard	dashboard	registry.munchbox.cc/dash:latest
deluge	deluge	cleanup-vpn	alpine:3.21
deluge	deluge	gluetun	qmcgaw/gluetun:v3.41.0
deluge	deluge	deluge	linuxserver/deluge:2.2.0
ersatztv	ersatztv	ersatztv	jasongdove/ersatztv:v26.3.0
flight-fetcher	flight-fetcher	flight-fetcher	registry.munchbox.cc/flight-fetcher:v0.9.25
forgejo	forgejo	init-config	busybox:1.37.0
forgejo	forgejo	forgejo	codeberg.org/forgejo/forgejo:14.0.3
forgejo-runner	forgejo-runner	forgejo-runner	gitea/act_runner:0.2.11
g3-proxy	g3-proxy	g3-proxy	registry.munchbox.cc/g3:v0.5.1
g3-webpage	g3-webpage	g3-webpage	registry.munchbox.cc/g3-web:v0.5.1
gitgogit	gitgogit	gitgogit	registry.munchbox.cc/gitgogit:v0.2.0
github-runner-moat	runner	runner	registry.munchbox.cc/moat-runner-standard:1.0.3
github-runner-moat-vm	runner	runner	registry.munchbox.cc/moat-runner-vm:1.0.3
grafana	grafana	grafana	grafana/grafana:12.4.1
haproxy	haproxy	haproxy	haproxy:3.1-alpine
health-checker	health-checker	health-checker	registry.munchbox.cc/health-checker:latest
jellyfin	jellyfin	jellyfin	jellyfin/jellyfin:10.11.6
keepalived	keepalived	keepalived	alpine:3.21
lidarr	lidarr	init-storage	busybox:latest
lidarr	lidarr	lidarr	linuxserver/lidarr:3.1.0
loki	loki	loki	grafana/loki:3.6.7
minio	minio	minio	minio/minio:latest
nextcloud	nextcloud	nextcloud	nextcloud:33.0-apache
nextcloud	nextcloud	cron	nextcloud:33.0-apache
nextcloud-exporter	nextcloud-exporter	nextcloud-exporter	xperimental/nextcloud-exporter:0.9.0
nginx-resume	nginx-resume	nginx-resume	registry.munchbox.cc/alex-resume:v0.0.1
nomad-temporal-jobs-webpage	nomad-temporal-jobs-webpage	nomad-temporal-jobs-webpage	registry.munchbox.cc/temporal-workers-web:v0.2.2
oauth2-proxy	oauth2-proxy	oauth2-proxy	quay.io/oauth2-proxy/oauth2-proxy:v7.14.2
oracle-watchdog	agent	oracle-watchdog	registry.munchbox.cc/oracle-watchdog:v0.0.9
oracle-watchdog-webpage	oracle-watchdog-webpage	oracle-watchdog-webpage	registry.munchbox.cc/oracle-watchdog-web:v1.3.0
patroni	patroni	init-storage	busybox:1.37.0
patroni	patroni	patroni	registry.munchbox.cc/patroni:pg18
patroni	patroni	postgres-exporter	quay.io/prometheuscommunity/postgres-exporter:v0.18.1
personal-site	personal-site	personal-site	registry.munchbox.cc/personal-site:v0.0.5
phlebotomy-game	phlebotomy-game	phlebotomy-game	registry.munchbox.cc/phlebotomy-game:latest
prometheus	prometheus	prometheus	prom/prometheus:v3.10.0
prowlarr	prowlarr	init-storage	busybox:latest
prowlarr	prowlarr	prowlarr	linuxserver/prowlarr:2.3.0
pve-exporter	pve-exporter	pve-exporter	prompve/prometheus-pve-exporter:3.5.0
radarr	radarr	init-storage	busybox:latest
radarr	radarr	radarr	linuxserver/radarr:6.0.4
readarr	readarr	init-storage	busybox:latest
readarr	readarr	readarr	linuxserver/readarr:0.4.19-nightly
redis-sentinel	redis	init-storage	busybox:1.37.0
redis-sentinel	redis	redis	redis:8-alpine
redis-sentinel	redis	sentinel	redis:8-alpine
redis-sentinel	redis	redis-exporter	oliver006/redis_exporter:v1.80.1
redis-sentinel	sentinel-quorum	sentinel	redis:8-alpine
registry	registry	registry	registry:3
registry-ui	registry-ui	registry-ui	joxit/docker-registry-ui@sha256:9e561fbe4fb1460c383e1d33e76f87c4cf4cddfd78adb02db9fb1d039b5c1e15
s3-orchestrator	s3-orchestrator	s3-orchestrator	registry.munchbox.cc/s3-orchestrator:v0.46.20
s3-orchestrator-webpage	s3-orchestrator-webpage	s3-orchestrator-webpage	registry.munchbox.cc/s3-orchestrator-web:v0.46.20
sonarr	sonarr	init-storage	busybox:latest
sonarr	sonarr	sonarr	linuxserver/sonarr:4.0.16
tempo	tempo	init-storage	busybox:latest
tempo	tempo	tempo	grafana/tempo:2.10.2
temporal-backup-trigger	trigger	trigger	registry.munchbox.cc/backup-worker:v0.1.4
temporal-backup-trigger/periodic-1778486400	trigger	trigger	registry.munchbox.cc/backup-worker:v0.1.4
temporal-cleanup-trigger	trigger	trigger	registry.munchbox.cc/backup-worker:v0.1.2
temporal-server	temporal-server	temporal-server	temporalio/server:1.29.1
temporal-trivy-trigger	trigger	trigger	registry.munchbox.cc/backup-worker:v0.1.4
temporal-ui	temporal-ui	temporal-ui	temporalio/ui:2.44.1
theme-server	theme-server	theme-server	registry.munchbox.cc/theme-server:latest
traefik	traefik	traefik	traefik:v3.6.11
traefik	traefik	geoip-updater	maxmindinc/geoipupdate:v7
traefik	traefik	traefik-log-filter	busybox:1.37
traefik	traefik	traefik-log-agent	hhftechnology/traefik-log-dashboard-agent:latest
traefik	traefik	traefik-log-dashboard	hhftechnology/traefik-log-dashboard:latest
traefik	traefik	cloudflared-tunnel	cloudflare/cloudflared:2026.1.2
trivy-scan-worker	worker	trivy-scan-worker	registry.munchbox.cc/trivy-scan-worker:v0.1.1
trivy-server	server	trivy-server	aquasec/trivy:0.68.2
