I, [2025-05-14T00:27:06.377793 #19015]  INFO -- Kitchen: -----> Starting Test Kitchen (v3.7.0)
E, [2025-05-14T00:27:06.377965 #19015] ERROR -- Kitchen: ------Exception-------
E, [2025-05-14T00:27:06.377981 #19015] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2025-05-14T00:27:06.377990 #19015] ERROR -- Kitchen: Message: Kitchen YAML file /Users/alexfreidah/tools/munchbox/chef/kitchen.yml does not exist.
E, [2025-05-14T00:27:06.377997 #19015] ERROR -- Kitchen: ----------------------
E, [2025-05-14T00:27:06.378004 #19015] ERROR -- Kitchen: ------Backtrace-------
E, [2025-05-14T00:27:06.378011 #19015] ERROR -- Kitchen: /Users/alexfreidah/.rvm/rubies/ruby-3.3.6/lib/ruby/gems/3.3.0/gems/test-kitchen-3.7.0/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2025-05-14T00:27:06.378018 #19015] ERROR -- Kitchen: /Users/alexfreidah/.rvm/rubies/ruby-3.3.6/lib/ruby/gems/3.3.0/gems/test-kitchen-3.7.0/lib/kitchen/config.rb:153:in `data'
E, [2025-05-14T00:27:06.378024 #19015] ERROR -- Kitchen: /Users/alexfreidah/.rvm/rubies/ruby-3.3.6/lib/ruby/gems/3.3.0/gems/test-kitchen-3.7.0/lib/kitchen/config.rb:131:in `suites'
E, [2025-05-14T00:27:06.378031 #19015] ERROR -- Kitchen: /Users/alexfreidah/.rvm/rubies/ruby-3.3.6/lib/ruby/gems/3.3.0/gems/test-kitchen-3.7.0/lib/kitchen/config.rb:183:in `filter_instances'
E, [2025-05-14T00:27:06.378037 #19015] ERROR -- Kitchen: /Users/alexfreidah/.rvm/rubies/ruby-3.3.6/lib/ruby/gems/3.3.0/gems/test-kitchen-3.7.0/lib/kitchen/config.rb:142:in `build_instances'
E, [2025-05-14T00:27:06.378043 #19015] ERROR -- Kitchen: /Users/alexfreidah/.rvm/rubies/ruby-3.3.6/lib/ruby/gems/3.3.0/gems/test-kitchen-3.7.0/lib/kitchen/config.rb:116:in `instances'
E, [2025-05-14T00:27:06.378064 #19015] ERROR -- Kitchen: /Users/alexfreidah/.rvm/rubies/ruby-3.3.6/lib/ruby/gems/3.3.0/gems/test-kitchen-3.7.0/lib/kitchen/command.rb:109:in `filtered_instances'
E, [2025-05-14T00:27:06.378080 #19015] ERROR -- Kitchen: /Users/alexfreidah/.rvm/rubies/ruby-3.3.6/lib/ruby/gems/3.3.0/gems/test-kitchen-3.7.0/lib/kitchen/command.rb:139:in `parse_subcommand'
