I, [2025-05-12T22:25:02.042602 #28952]  INFO -- default-ubuntu-2004: -----> Creating <default-ubuntu-2004>...
E, [2025-05-12T22:25:02.983097 #28952] ERROR -- default-ubuntu-2004: Create failed on instance <default-ubuntu-2004>.
E, [2025-05-12T22:25:02.983505 #28952] ERROR -- default-ubuntu-2004: ------Exception-------
E, [2025-05-12T22:25:02.983540 #28952] ERROR -- default-ubuntu-2004: Class: Kitchen::ActionFailed
E, [2025-05-12T22:25:02.983570 #28952] ERROR -- default-ubuntu-2004: Message: Could not parse Docker build output for image ID
E, [2025-05-12T22:25:02.983591 #28952] ERROR -- default-ubuntu-2004: ----------------------
E, [2025-05-12T22:25:02.983610 #28952] ERROR -- default-ubuntu-2004: ------Backtrace-------
E, [2025-05-12T22:25:02.983628 #28952] ERROR -- default-ubuntu-2004: /Users/alexfreidah/.rvm/gems/ruby-3.3.6/gems/kitchen-docker-3.0.0/lib/kitchen/docker/helpers/image_helper.rb:39:in `parse_image_id'
E, [2025-05-12T22:25:02.983646 #28952] ERROR -- default-ubuntu-2004: /Users/alexfreidah/.rvm/gems/ruby-3.3.6/gems/kitchen-docker-3.0.0/lib/kitchen/docker/helpers/image_helper.rb:68:in `build_image'
E, [2025-05-12T22:25:02.983664 #28952] ERROR -- default-ubuntu-2004: /Users/alexfreidah/.rvm/gems/ruby-3.3.6/gems/kitchen-docker-3.0.0/lib/kitchen/docker/container/linux.rb:41:in `create'
E, [2025-05-12T22:25:02.983683 #28952] ERROR -- default-ubuntu-2004: /Users/alexfreidah/.rvm/gems/ruby-3.3.6/gems/kitchen-docker-3.0.0/lib/kitchen/driver/docker.rb:125:in `create'
E, [2025-05-12T22:25:02.983702 #28952] ERROR -- default-ubuntu-2004: /Users/alexfreidah/.rvm/gems/ruby-3.3.6/gems/test-kitchen-3.7.0/lib/kitchen/instance.rb:495:in `public_send'
E, [2025-05-12T22:25:02.983721 #28952] ERROR -- default-ubuntu-2004: /Users/alexfreidah/.rvm/gems/ruby-3.3.6/gems/test-kitchen-3.7.0/lib/kitchen/instance.rb:495:in `block in perform_action'
E, [2025-05-12T22:25:02.983739 #28952] ERROR -- default-ubuntu-2004: /Users/alexfreidah/.rvm/gems/ruby-3.3.6/gems/test-kitchen-3.7.0/lib/kitchen/instance.rb:563:in `synchronize_or_call'
E, [2025-05-12T22:25:02.983803 #28952] ERROR -- default-ubuntu-2004: /Users/alexfreidah/.rvm/gems/ruby-3.3.6/gems/test-kitchen-3.7.0/lib/kitchen/instance.rb:524:in `block in action'
E, [2025-05-12T22:25:02.983822 #28952] ERROR -- default-ubuntu-2004: /Users/alexfreidah/.rvm/rubies/ruby-3.3.6/lib/ruby/3.3.0/benchmark.rb:298:in `measure'
E, [2025-05-12T22:25:02.983841 #28952] ERROR -- default-ubuntu-2004: /Users/alexfreidah/.rvm/gems/ruby-3.3.6/gems/test-kitchen-3.7.0/lib/kitchen/instance.rb:523:in `action'
E, [2025-05-12T22:25:02.983858 #28952] ERROR -- default-ubuntu-2004: /Users/alexfreidah/.rvm/gems/ruby-3.3.6/gems/test-kitchen-3.7.0/lib/kitchen/instance.rb:495:in `perform_action'
E, [2025-05-12T22:25:02.983893 #28952] ERROR -- default-ubuntu-2004: /Users/alexfreidah/.rvm/gems/ruby-3.3.6/gems/test-kitchen-3.7.0/lib/kitchen/instance.rb:404:in `create_action'
E, [2025-05-12T22:25:02.983912 #28952] ERROR -- default-ubuntu-2004: /Users/alexfreidah/.rvm/gems/ruby-3.3.6/gems/test-kitchen-3.7.0/lib/kitchen/instance.rb:392:in `block (2 levels) in transition_to'
E, [2025-05-12T22:25:02.983931 #28952] ERROR -- default-ubuntu-2004: /Users/alexfreidah/.rvm/gems/ruby-3.3.6/gems/test-kitchen-3.7.0/lib/kitchen/lifecycle_hooks.rb:47:in `run_with_hooks'
E, [2025-05-12T22:25:02.983953 #28952] ERROR -- default-ubuntu-2004: /Users/alexfreidah/.rvm/gems/ruby-3.3.6/gems/test-kitchen-3.7.0/lib/kitchen/instance.rb:391:in `block in transition_to'
E, [2025-05-12T22:25:02.983972 #28952] ERROR -- default-ubuntu-2004: /Users/alexfreidah/.rvm/gems/ruby-3.3.6/gems/test-kitchen-3.7.0/lib/kitchen/instance.rb:390:in `each'
E, [2025-05-12T22:25:02.983990 #28952] ERROR -- default-ubuntu-2004: /Users/alexfreidah/.rvm/gems/ruby-3.3.6/gems/test-kitchen-3.7.0/lib/kitchen/instance.rb:390:in `transition_to'
E, [2025-05-12T22:25:02.984014 #28952] ERROR -- default-ubuntu-2004: /Users/alexfreidah/.rvm/gems/ruby-3.3.6/gems/test-kitchen-3.7.0/lib/kitchen/instance.rb:139:in `converge'
E, [2025-05-12T22:25:02.984033 #28952] ERROR -- default-ubuntu-2004: /Users/alexfreidah/.rvm/gems/ruby-3.3.6/gems/test-kitchen-3.7.0/lib/kitchen/command.rb:195:in `public_send'
E, [2025-05-12T22:25:02.984129 #28952] ERROR -- default-ubuntu-2004: /Users/alexfreidah/.rvm/gems/ruby-3.3.6/gems/test-kitchen-3.7.0/lib/kitchen/command.rb:195:in `run_action_in_thread'
E, [2025-05-12T22:25:02.984150 #28952] ERROR -- default-ubuntu-2004: /Users/alexfreidah/.rvm/gems/ruby-3.3.6/gems/test-kitchen-3.7.0/lib/kitchen/command.rb:166:in `block (2 levels) in run_action'
E, [2025-05-12T22:25:02.984168 #28952] ERROR -- default-ubuntu-2004: ----End Backtrace-----
